Time[s], CLK, MOSI, MISO, CS, Master 3V3_EN, Slave 3V3_EN
0.000000000000000, 1, 0, 1, 1, 0, 0
0.191667875000000, 0, 0, 1, 1, 0, 0
0.191668375000000, 0, 0, 0, 1, 0, 0
0.191668937500000, 0, 0, 0, 0, 0, 0
0.191762187500000, 0, 0, 0, 0, 0, 1
0.217289562500000, 0, 0, 0, 0, 1, 1
0.217289625000000, 0, 0, 0, 0, 0, 1
0.217333687500000, 0, 0, 0, 0, 1, 1
0.217345437500000, 0, 0, 0, 0, 0, 1
0.217421750000000, 0, 0, 0, 0, 1, 1
0.236593875000000, 0, 0, 0, 1, 1, 1
0.309819812500000, 0, 0, 1, 0, 1, 1
0.309820812500000, 1, 0, 1, 0, 1, 1
0.309821312500000, 0, 0, 1, 0, 1, 1
0.309821812500000, 1, 0, 1, 0, 1, 1
0.309822312500000, 0, 0, 1, 0, 1, 1
0.309822812500000, 1, 0, 1, 0, 1, 1
0.309823312500000, 0, 0, 1, 0, 1, 1
0.309823812500000, 1, 0, 1, 0, 1, 1
0.309824312500000, 0, 0, 1, 0, 1, 1
0.309824812500000, 1, 0, 1, 0, 1, 1
0.309825312500000, 0, 0, 1, 0, 1, 1
0.309825812500000, 1, 0, 1, 0, 1, 1
0.309826312500000, 0, 0, 1, 0, 1, 1
0.309826812500000, 1, 0, 1, 0, 1, 1
0.309827375000000, 0, 0, 1, 0, 1, 1
0.309827875000000, 1, 0, 1, 0, 1, 1
0.309828375000000, 0, 0, 1, 0, 1, 1
0.309828875000000, 0, 0, 0, 1, 1, 1
0.309829375000000, 0, 0, 1, 0, 1, 1
0.309830375000000, 1, 0, 1, 0, 1, 1
0.309830875000000, 0, 0, 1, 0, 1, 1
0.309831375000000, 1, 0, 1, 0, 1, 1
0.309831875000000, 0, 0, 1, 0, 1, 1
0.309832375000000, 1, 0, 1, 0, 1, 1
0.309832875000000, 0, 0, 1, 0, 1, 1
0.309833375000000, 1, 0, 1, 0, 1, 1
0.309833875000000, 0, 0, 1, 0, 1, 1
0.309834375000000, 1, 0, 1, 0, 1, 1
0.309834937500000, 0, 0, 1, 0, 1, 1
0.309835437500000, 1, 0, 1, 0, 1, 1
0.309835937500000, 0, 0, 1, 0, 1, 1
0.309836437500000, 1, 0, 1, 0, 1, 1
0.309836937500000, 0, 1, 0, 0, 1, 1
0.309837437500000, 1, 1, 0, 0, 1, 1
0.309837937500000, 0, 0, 0, 0, 1, 1
0.309838437500000, 0, 0, 0, 1, 1, 1
0.309838937500000, 0, 0, 1, 0, 1, 1
0.309839937500000, 1, 0, 1, 0, 1, 1
0.309840437500000, 0, 0, 1, 0, 1, 1
0.309840937500000, 1, 0, 1, 0, 1, 1
0.309841437500000, 0, 0, 1, 0, 1, 1
0.309841937500000, 1, 0, 1, 0, 1, 1
0.309842437500000, 0, 0, 1, 0, 1, 1
0.309843000000000, 1, 0, 1, 0, 1, 1
0.309843500000000, 0, 0, 1, 0, 1, 1
0.309844000000000, 1, 0, 1, 0, 1, 1
0.309844500000000, 0, 0, 1, 0, 1, 1
0.309845000000000, 1, 0, 1, 0, 1, 1
0.309845500000000, 0, 1, 0, 0, 1, 1
0.309846000000000, 1, 1, 0, 0, 1, 1
0.309846500000000, 0, 0, 1, 0, 1, 1
0.309847000000000, 1, 0, 1, 0, 1, 1
0.309847500000000, 0, 0, 1, 0, 1, 1
0.309848000000000, 0, 0, 1, 1, 1, 1
0.309848062500000, 0, 0, 0, 1, 1, 1
0.309848500000000, 0, 0, 0, 0, 1, 1
0.309848562500000, 0, 0, 1, 0, 1, 1
0.309849500000000, 1, 0, 1, 0, 1, 1
0.309850000000000, 0, 0, 1, 0, 1, 1
0.309850500000000, 1, 0, 1, 0, 1, 1
0.309851062500000, 0, 0, 1, 0, 1, 1
0.309851562500000, 1, 0, 1, 0, 1, 1
0.309852062500000, 0, 0, 1, 0, 1, 1
0.309852562500000, 1, 0, 1, 0, 1, 1
0.309853062500000, 0, 0, 1, 0, 1, 1
0.309853562500000, 1, 0, 1, 0, 1, 1
0.309854062500000, 0, 0, 1, 0, 1, 1
0.309854562500000, 1, 0, 1, 0, 1, 1
0.309855062500000, 0, 1, 0, 0, 1, 1
0.309855562500000, 1, 1, 0, 0, 1, 1
0.309856062500000, 0, 1, 0, 0, 1, 1
0.309856562500000, 1, 1, 0, 0, 1, 1
0.309857062500000, 0, 0, 0, 0, 1, 1
0.309857562500000, 0, 0, 0, 1, 1, 1
0.309858062500000, 0, 0, 0, 0, 1, 1
0.309858125000000, 0, 0, 1, 0, 1, 1
0.309859125000000, 1, 0, 1, 0, 1, 1
0.309859625000000, 0, 0, 1, 0, 1, 1
0.309860125000000, 1, 0, 1, 0, 1, 1
0.309860625000000, 0, 0, 1, 0, 1, 1
0.309861125000000, 1, 0, 1, 0, 1, 1
0.309861625000000, 0, 0, 1, 0, 1, 1
0.309862125000000, 1, 0, 1, 0, 1, 1
0.309862625000000, 0, 0, 1, 0, 1, 1
0.309863125000000, 1, 0, 1, 0, 1, 1
0.309863625000000, 0, 1, 1, 0, 1, 1
0.309863687500000, 0, 1, 0, 0, 1, 1
0.309864125000000, 1, 1, 0, 0, 1, 1
0.309864625000000, 0, 0, 0, 0, 1, 1
0.309864687500000, 0, 0, 1, 0, 1, 1
0.309865125000000, 1, 0, 1, 0, 1, 1
0.309865625000000, 0, 0, 1, 0, 1, 1
0.309866125000000, 1, 0, 1, 0, 1, 1
0.309866687500000, 0, 0, 1, 0, 1, 1
